#Latest: Time (s),#Latest: Temperature (°C),#Latest: Potential (V)
2172.5,41.37789661,2.470588684
2173,41.37146701,2.305221558
2173.5,41.37789661,2.192497253
2174,41.387542,2.101707459
2174.5,41.38914968,1.995658875
2175,41.41326884,1.909065247
2175.5,41.42291858,1.846122742
2176,41.43096094,1.795196533
2176.5,41.43739542,1.739692688
2177,41.44222163,1.733207703
2177.5,41.44865703,1.746559143
2178,41.45509297,1.808166504
2178.5,41.46313864,1.842498779
2179,41.45509297,1.915740967
2179.5,41.46152944,2.011108398
2180,41.45831114,2.107810974
2180.5,41.45992027,2.324104309
2181,41.46635714,2.421188354
2181.5,41.46313864,2.569389343
2182,41.46635714,2.68573761
2182.5,41.46957577,2.757835388
2183,41.46313864,2.904891968
2183.5,41.46957577,3.050231934
2184,41.47601343,3.199958801
2184.5,41.47601343,3.460121155
2185,41.47279453,3.627586365
2185.5,41.46957577,3.819084167
2186,41.47279453,3.926277161
2186.5,41.46635714,4.005813599
2187,41.46313864,4.237747192
2187.5,41.45831114,4.439926147
2188,41.44865703,4.612922668
2188.5,41.45509297,4.757499695
2189,41.45187494,4.852867126
2189.5,41.44865703,4.950523376
2190,41.43417811,5.005264282
2190.5,41.44222163,5.006599426
2191,41.42774389,5.006217957
2191.5,41.42774389,5.006217957
2192,41.41970187,5.006217957
2192.5,41.41326884,5.005836487
2193,41.39879645,5.006980896
2193.5,41.38914968,5.005836487
2194,41.37789661,4.956626892
2194.5,41.3698597,4.849624634
2195,41.36343075,4.842567444
2195.5,41.35218137,4.780387878
2196,41.34575387,4.614639282
2196.5,41.33450701,4.689598084
2197,41.32808096,4.335403442
2197.5,41.32486813,4.217720032
2198,41.30077608,4.059028625
2198.5,41.29917021,3.909492493
2199,41.2847188,3.577041626
2199.5,41.275086,3.440856934
2200,41.26545438,3.244781494
2200.5,41.25100915,2.987289429
2201,41.23175294,2.896881104
2201.5,41.21570968,2.649688721
2202,41.20127352,2.435874939
2202.5,41.19004721,2.29511261
2203,41.17561573,2.159309387
2203.5,41.16118686,2.062797546
2204,41.14515786,1.931190491
2204.5,41.13714457,1.839447021
2205,41.12592732,1.780891418
2205.5,41.12272268,1.741409302
2206,41.10509948,1.729202271
2206.5,41.09548847,1.744842529
2207,41.08427708,1.786231995
2207.5,41.07787128,1.846694946
2208,41.07306727,1.930427551
2208.5,41.05705598,2.034187317
2209,41.05385411,2.192497253
2209.5,41.03464556,2.380943298
2210,41.02504302,2.508163452
2210.5,41.00744134,2.69241333
2211,41.00264156,2.927780151
2211.5,40.99624229,3.176307678
2212,40.97864694,3.324890137
2212.5,40.9690511,3.528404236
2213,40.9578574,3.716278076
2213.5,40.95465949,3.893661499
2214,40.94666527,4.040908813
2214.5,40.9434678,4.266166687
2215,40.95465949,4.458427429
2215.5,40.94826405,4.594421387
2216,40.96425361,4.751968384
2216.5,40.9690511,4.859924316
2217,40.9690511,4.958534241
2217.5,40.9754482,4.996871948
2218,40.97224959,5.006217957
2218.5,40.97224959,5.004882813
2219,40.96745191,5.005264282
2219.5,40.96745191,5.006599426
2220,40.96425361,5.006599426
2220.5,40.9578574,5.005455017
2221,40.95465949,4.996490479
2221.5,40.94986286,4.90436554
2222,40.9434678,4.838180542
2222.5,40.9434678,4.742050171
2223,40.94027046,4.636764526
2223.5,40.9434678,4.541397095
2224,40.94027046,4.341316223
2224.5,40.94027046,4.178619385
2225,40.94666527,3.97644043
2225.5,40.94666527,3.776359558
2226,40.96105544,3.566360474
2226.5,40.9690511,3.38344574
2227,40.97864694,3.225517273
2227.5,40.98184581,3.102111816
2228,40.97864694,3.022956848
2228.5,40.97864694,2.803039551
2229,40.9690511,2.544212341
2229.5,40.96585274,2.41985321
2230,40.95146171,2.295875549
2230.5,40.94666527,2.124786377
2231,40.93387616,2.015686035
2231.5,40.925884,1.932907104
2232,40.91949084,1.881790161
2232.5,40.91309819,1.779556274
2233,40.90510809,1.742744446
2233.5,40.90191227,1.726341248
2234,40.89552102,1.725196838
2234.5,40.88433754,1.736068726
2235,40.86676662,1.795959473
2235.5,40.86197522,1.894760132
2236,40.84600593,2.021598816
2236.5,40.84121576,2.067184448
2237,40.81407679,2.217102051
2237.5,40.82046161,2.471733093
2238,40.80928851,2.739906311
2238.5,40.79652113,2.870368958
2239,40.78854254,3.003692627
2239.5,40.78854254,3.176689148
2240,40.77896927,3.351211548
2240.5,40.77258772,3.638076782
2241,40.76780188,3.719711304
2241.5,40.75344606,3.921508789
2242,40.75025622,4.098320007
2242.5,40.7359035,4.30393219
2243,40.72633642,4.492759705
2243.5,40.71198791,4.581642151
2244,40.70242364,4.716873169
2244.5,40.68489206,4.86164093
2245,40.68329846,4.991531372
2245.5,40.66577099,5.005836487
2246,40.65621213,5.005836487
2246.5,40.64824727,5.006599426
2247,40.6355051,5.005455017
2247.5,40.6307273,5.006980896
2248,40.6307273,5.005264282
2248.5,40.62435734,5.006217957
2249,40.62435734,5.006217957
2249.5,40.62117254,4.979705811
2250,40.62117254,4.934120178
2250.5,40.60684248,4.854202271
2251,40.61321109,4.727363586
2251.5,40.61002672,4.590415955
2252,40.60365836,4.4090271
2252.5,40.61798786,4.20665741
2253,40.60684248,3.943824768
2253.5,40.61321109,3.661155701
2254,40.61480331,3.434562683
2254.5,40.61321109,3.255844116
2255,40.61002672,3.217697144
2255.5,40.61002672,3.014183044
2256,40.60684248,2.849006653
2256.5,40.60365836,2.673721313
2257,40.60365836,2.483940125
2257.5,40.60684248,2.342414856
2258,40.60365836,2.208709717
2258.5,40.59251492,2.07233429
2259,40.58296461,1.98097229
2259.5,40.581373,1.87664032
2260,40.57818987,1.791763306
2260.5,40.56864122,1.753616333
2261,40.56545858,1.735115051
2261.5,40.56545858,1.726913452
2262,40.56864122,1.75819397
2262.5,40.55432032,1.801681519
2263,40.56068486,1.861572266
2263.5,40.55750253,1.939582825
2264,40.56068486,2.057647705
2264.5,40.55750253,2.09903717
2265,40.56068486,2.205848694
2265.5,40.56068486,2.375030518
2266,40.55432032,2.488517761
2266.5,40.54477444,2.62928009
2267,40.54000192,2.786827087
2267.5,40.52727654,2.940750122
2268,40.53363899,3.125572205
2268.5,40.52727654,3.282928467
2269,40.51932418,3.493499756
2269.5,40.51296284,3.577804565
2270,40.52250503,3.796768188
2270.5,40.52568601,4.030036926
2271,40.52568601,4.163742065
2271.5,40.53363899,4.307174683
2272,40.5304577,4.491043091
2272.5,40.53682039,4.600906372
2273,40.54318357,4.731369019
2273.5,40.54795628,4.826545715
2274,40.55432032,4.926109314
2274.5,40.55750253,4.981040955
2275,40.55113824,5.005455017
2275.5,40.55432032,5.006217957
2276,40.54795628,5.006217957
2276.5,40.54636535,5.005836487
2277,40.54318357,5.006217957
2277.5,40.5304577,5.006980896
2278,40.52250503,5.005264282
2278.5,40.52568601,5.006980896
2279,40.52568601,5.002784729
2279.5,40.51932418,4.960632324
2280,40.52568601,4.878044128
2280.5,40.52568601,4.754447937
2281,40.52727654,4.67376709
2281.5,40.5304577,4.552650452
2282,40.54000192,4.362106323
2282.5,40.54795628,4.24156189
2283,40.55750253,4.19178009
2283.5,40.56864122,4.012870789
2284,40.58933136,3.811073303
2284.5,40.59569861,3.694534302
2285,40.60365836,3.548049927
2285.5,40.60684248,3.344917297
2286,40.60047437,3.125
2286.5,40.60047437,2.993965149
2287,40.58933136,2.833175659
2287.5,40.58933136,2.703475952
2288,40.57818987,2.553749084
2288.5,40.56386731,2.409744263
2289,40.56545858,2.251052856
2289.5,40.56068486,2.122116089
2290,40.54795628,2.032470703
2290.5,40.54477444,1.939201355
2291,40.53682039,1.893997192
2291.5,40.53682039,1.805496216
2292,40.53682039,1.767158508
2292.5,40.52568601,1.734352112
2293,40.52568601,1.726341248
2293.5,40.52250503,1.735115051
2294,40.52568601,1.752853394
2294.5,40.51614345,1.795196533
2295,40.50819216,1.865005493
2295.5,40.49547169,1.945304871
2296,40.49865162,2.047538757
2296.5,40.50183168,2.15473175
2297,40.49865162,2.277374268
2297.5,40.50501186,2.412414551
2298,40.50183168,2.525138855
2298.5,40.49229188,2.705955505
2299,40.49547169,2.870178223
2299.5,40.49070202,3.046035767
2300,40.48434288,3.358650208
2300.5,40.47321558,3.499794006
2301,40.46367908,3.695106506
2301.5,40.45255456,3.854560852
2302,40.45255456,4.037666321
2302.5,40.4493764,4.204177856
2303,40.43984265,4.357528687
2303.5,40.42554408,4.525756836
2304,40.41760149,4.6875
2304.5,40.40489494,4.818916321
2305,40.40489494,4.911231995
2305.5,40.3906024,5.000686646
2306,40.37631231,5.005073547
2306.5,40.36996195,5.005836487
2307,40.36202468,5.006980896
2307.5,40.36202468,5.005264282
2308,40.35091378,5.006217957
2308.5,40.34456535,5.005455017
2309,40.34297832,5.006217957
2309.5,40.33028317,5.006980896
2310,40.31917649,4.986572266
2310.5,40.31283049,4.874229431
2311,40.30172614,4.778671265
2311.5,40.30172614,4.632568359
2312,40.29538146,4.554748535
2312.5,40.28745128,4.401397705
2313,40.28745128,4.282951355
2313.5,40.2922093,4.167747498
2314,40.29855374,3.985214233
2314.5,40.30172614,3.828620911
2315,40.29855374,3.656959534
2315.5,40.29855374,3.453445435
2316,40.30489866,3.238868713
2316.5,40.29855374,3.122520447
2317,40.30172614,2.921676636
2317.5,40.29538146,2.680015564
2318,40.2922093,2.533721924
2318.5,40.29062326,2.391052246
2319,40.28745128,2.252388
2319.5,40.28110769,2.204704285
2320,40.27317887,2.087783813
2320.5,40.27000755,1.965904236
2321,40.26366528,1.874542236
2321.5,40.25732349,1.857566834
2322,40.25256746,1.775360107
2322.5,40.24305621,1.742362976
2323,40.23830099,1.724624634
2323.5,40.2224522,1.723861694
2324,40.21135983,1.739501953
2324.5,40.20343761,1.798057556
2325,40.205022,1.841545105
2325.5,40.19393193,1.914024353
2326,40.20026893,2.012062073
2326.5,40.19710037,2.075195313
2327,40.19393193,2.234268188
2327.5,40.19710037,2.404403687
2328,40.19076361,2.56061554
2328.5,40.19076361,2.698898315
2329,40.19710037,2.860832214
2329.5,40.18759541,3.063964844
2330,40.20343761,3.203773499
2330.5,40.20660641,3.415298462
2331,40.21135983,3.505706787
2331.5,40.21135983,3.763389587
2332,40.21135983,3.936958313
2332.5,40.20819086,4.08115387
2333,40.20660641,4.240608215
2333.5,40.20026893,4.416656494
2334,40.19393193,4.529571533
2334.5,40.18284333,4.649734497
2335,40.17333997,4.818916321
2335.5,40.16542133,4.900169373
2336,40.15116965,4.978179932
2336.5,40.13850352,5.005836487
2337,40.13375421,5.006217957
2337.5,40.11001167,5.005836487
2338,40.11317695,5.006599426
2338.5,40.09260471,5.006217957
2339,40.07520133,5.005836487
2339.5,40.07203747,5.007362366
2340,40.06412832,5.005455017
2340.5,40.04831224,4.997062683
2341,40.03408029,4.881477356
2341.5,40.03408029,4.809761047
2342,40.02933684,4.711723328
2342.5,40.01985073,4.534721375
2343,40.01985073,4.351997375
2343.5,40.01985073,4.19178009
2344,40.01668893,4.08782959
2344.5,40.00878494,3.887367249
2345,40.00878494,3.61995697
2345.5,39.99455961,3.521347046
2346,39.98191688,3.356170654
2346.5,39.97401612,3.089141846
2347,39.96769604,2.885055542
2347.5,39.95663703,2.777099609
2348,39.95031824,2.633857727
2348.5,39.94242041,2.474403381
2349,39.93926148,2.231025696
2349.5,39.94242041,2.14176178
2350,39.94242041,2.018737793
2350.5,39.93926148,1.924133301
2351,39.94399991,1.844978333
2351.5,39.93926148,1.797676086
2352,39.93926148,1.746177673
2352.5,39.93610267,1.721763611
2353,39.93294397,1.713943481
2353.5,39.94242041,1.731109619
2354,39.94715902,1.761627197
2354.5,39.94715902,1.829528809
2355,39.93610267,1.91116333
2355.5,39.93926148,1.999092102
2356,39.9297854,2.08568573
2356.5,39.9297854,2.220535278
2357,39.91557325,2.274131775
2357.5,39.91241531,2.409744263
2358,39.92188947,2.627182007
2358.5,39.92188947,2.716445923
2359,39.92504775,2.963829041
2359.5,39.92662694,3.125953674
2360,39.9297854,3.342056274
2360.5,39.9297854,3.526687622
2361,39.94715902,3.685951233
2361.5,39.95347757,3.869628906
2362,39.96453617,4.028320313
2362.5,39.97085602,4.121017456
2363,39.96769604,4.319763184
2363.5,39.97717633,4.470252991
2364,39.97875648,4.622077942
2364.5,39.98507738,4.831504822
2365,39.98823801,4.955863953
2365.5,39.99139875,4.967308044
2366,39.98507738,4.990386963
2366.5,39.97875648,5.006980896
2367,39.97717633,5.006217957
2367.5,39.96453617,5.006217957
2368,39.96453617,5.005455017
2368.5,39.95663703,5.006217957
2369,39.94242041,5.006599426
2369.5,39.94399991,5.006217957
2370,39.92662694,4.968833923
2370.5,39.91241531,4.946327209
2371,39.90452098,4.842376709
2371.5,39.89820605,4.758262634
2372,39.88084237,4.643630981
2372.5,39.87768572,4.474639893
2373,39.86348221,4.288864136
2373.5,39.86663834,4.142570496
2374,39.86348221,3.975486755
2374.5,39.8571703,3.819465637
2375,39.86663834,3.643417358
2375.5,39.86348221,3.479385376
2376,39.86663834,3.244018555
2376.5,39.86979459,3.112030029
2377,39.88084237,2.890205383
2377.5,39.88084237,2.860069275
2378,39.88715603,2.734375
2378.5,39.89031303,2.490997314
2379,39.89031303,2.329826355
2379.5,39.89031303,2.266311646
2380,39.88715603,2.125930786
2380.5,39.87452918,2.03742981
2381,39.87452918,1.886749268
2381.5,39.87452918,1.872634888
2382,39.86348221,1.785850525
2382.5,39.86979459,1.727294922
2383,39.86979459,1.71546936
2383.5,39.87295095,1.733970642
2384,39.87452918,1.766586304
2384.5,39.88084237,1.805686951
2385,39.89031303,1.845741272
2385.5,39.89504875,1.914024353
2386,39.90136346,2.013587952
2386.5,39.91083639,2.116394043
2387,39.90925749,2.245330811
2387.5,39.91241531,2.352523804
2388,39.91557325,2.404785156
2388.5,39.91241531,2.590751648
2389,39.91241531,2.673721313
