#Latest:Time(s),#Latest:Temperature(°C),#Latest:Potential(V)
1090.7,38.98109664,2.861213684
1091.1,39.00609732,2.722549438
1091.5,39.0326681,2.57434845
1091.9,39.00609732,2.426147461
1092.3,39.0326681,2.284431458
1092.7,39.0326681,2.192878723
1093.1,39.0326681,2.088928223
1093.5,39.0326681,1.953315735
1093.9,39.05768302,1.893424988
1094.3,39.0326681,1.839828491
1094.7,39.0326681,1.76410675
1095.1,39.05768302,1.72328949
1095.5,39.0326681,1.713752747
1095.9,39.05768302,1.704216003
1096.3,39.05768302,1.726341248
1096.7,39.08426897,1.779937744
1097.1,39.05768302,1.805114746
1097.5,39.05768302,1.861953735
1097.9,39.05768302,1.953315735
1098.3,39.05768302,2.013206482
1098.7,39.08426897,2.098274231
1099.1,39.05768302,2.262306213
1099.5,39.08426897,2.369499207
1099.9,39.05768302,2.514457703
1100.3,39.05768302,2.691078186
1100.7,39.05768302,2.845573425
1101.1,39.05768302,2.962112427
1101.5,39.05768302,3.100776672
1101.9,39.05768302,3.271102905
1102.3,39.0326681,3.400421143
1102.7,39.0326681,3.551673889
1103.1,39.0326681,3.750228882
1103.5,39.0326681,3.939437866
1103.9,39.00609732,4.131698608
1104.3,39.00609732,4.270362854
1104.7,38.98109664,4.393386841
1105.1,38.98109664,4.503631592
1105.5,38.98109664,4.614067078
1105.9,38.95454096,4.677009583
1106.3,38.95454096,4.755973816
1106.7,38.92955446,4.844093323
1107.1,38.90301381,4.897689819
1107.5,38.87804142,4.948234558
1107.9,38.87804142,5.001831055
1108.3,38.85307586,5.008125305
1108.7,38.8265574,5.004882813
1109.1,38.8265574,4.995536804
1109.5,38.8265574,4.989242554
1109.9,38.8265574,4.963874817
1110.3,38.80160585,4.90398407
1110.7,38.80160585,4.831504822
1111.1,38.80160585,4.768562317
1111.5,38.80160585,4.629707336
1111.9,38.80160585,4.57611084
1112.3,38.80160585,4.443740845
1112.7,38.80160585,4.308319092
1113.1,38.8265574,4.153823853
1113.5,38.80160585,4.018211365
1113.9,38.80160585,3.89213562
1114.3,38.8265574,3.72505188
1114.7,38.8265574,3.567314148
1115.1,38.85307586,3.438186646
1115.5,38.87804142,3.330993652
1115.9,38.92955446,3.066253662
1116.3,38.95454096,2.939987183
1116.7,38.98109664,2.766609192
1117.1,38.98109664,2.558708191
1117.5,38.98109664,2.404212952
1117.9,38.98109664,2.287483215
1118.3,39.00609732,2.199172974
1118.7,38.98109664,2.08568573
1119.1,39.00609732,1.984786987
1119.5,39.00609732,1.89037323
1119.9,38.98109664,1.795768738
1120.3,39.00609732,1.7578125
1120.7,38.98109664,1.72958374
1121.1,38.95454096,1.72328949
1121.5,38.95454096,1.720046997
1121.9,38.95454096,1.738929749
1122.3,38.92955446,1.770591736
1122.7,38.90301381,1.833534241
1123.1,38.90301381,1.871299744
1123.5,38.87804142,1.969146729
1123.9,38.87804142,2.082633972
1124.3,38.85307586,2.183532715
1124.7,38.85307586,2.284431458
1125.1,38.8265574,2.445220947
1125.5,38.80160585,2.599525452
1125.9,38.80160585,2.772903442
1126.3,38.80160585,2.892684937
1126.7,38.80160585,3.040885925
1127.1,38.80160585,3.264808655
1127.5,38.80160585,3.441238403
1127.9,38.8265574,3.611564636
1128.3,38.77510225,3.762817383
1128.7,38.8265574,3.993034363
1129.1,38.80160585,4.128456116
1129.5,38.80160585,4.245185852
1129.9,38.80160585,4.336547852
1130.3,38.80160585,4.494285584
1130.7,38.80160585,4.544639587
1131.1,38.80160585,4.648780823
1131.5,38.77510225,4.755973816
1131.9,38.77510225,4.850387573
1132.3,38.75016466,4.900932312
1132.7,38.75016466,4.951286316
1133.1,38.75016466,4.995536804
1133.5,38.72367585,5.004882813
1133.9,38.69875214,5.001831055
1134.3,38.69875214,4.989242554
1134.7,38.67227805,4.941940308
